order_id,distance_km,delivery_time_min,traffic_level,route_length_km,delivery_mode,weather,order_time,restaurant_zone,customer_zone
1,7.97,63.8,High,9.75,Bicycle,Clear,2025-01-01 15:29,South,North
2,0.9,7.6,High,1.28,Car,Cloudy,2025-01-03 00:47,West,North
3,11.12,78.0,Medium,16.65,Bike,Rainy,2025-01-04 17:32,South,Central
4,4.9,24.8,Low,5.25,Scooter,Rainy,2025-01-01 14:12,Central,Central
5,10.04,56.0,High,11.34,Car,Rainy,2025-01-02 16:50,West,North
6,10.96,76.8,High,13.62,Car,Windy,2025-01-02 09:56,West,North
7,9.6,54.4,Low,13.32,Bike,Windy,2025-01-03 00:29,Central,North
8,6.24,52.9,Low,8.41,Bike,Cloudy,2025-01-02 21:36,South,Central
9,9.98,81.4,Medium,14.87,Bicycle,Rainy,2025-01-01 08:19,Central,West
10,2.48,17.1,High,3.38,Car,Windy,2025-01-01 09:28,South,North
11,7.23,47.7,Medium,7.63,Bike,Rainy,2025-01-03 15:24,West,Central
12,6.65,27.8,High,6.69,Bike,Rainy,2025-01-03 06:47,Central,West
13,11.42,83.4,Medium,13.97,Car,Rainy,2025-01-03 05:24,Central,South
14,1.26,9.9,Low,1.55,Bicycle,Windy,2025-01-03 18:37,South,North
15,9.88,56.6,Medium,12.45,Bike,Cloudy,2025-01-03 04:12,North,Central
16,4.69,23.2,Low,4.86,Scooter,Clear,2025-01-04 04:16,North,North
17,7.27,34.9,High,8.66,Scooter,Cloudy,2025-01-03 14:38,Central,West
18,10.19,60.2,High,10.24,Car,Windy,2025-01-03 02:11,North,South
19,2.11,9.2,Medium,2.23,Scooter,Rainy,2025-01-02 17:10,Central,North
20,3.12,18.0,High,3.41,Bicycle,Windy,2025-01-04 08:23,South,Central
21,8.22,50.4,Low,10.42,Bike,Windy,2025-01-01 08:26,East,South
22,8.13,46.0,High,9.43,Car,Windy,2025-01-03 11:13,Central,Central
23,0.54,2.4,Medium,0.58,Scooter,Rainy,2025-01-02 09:43,South,East
24,5.15,33.7,Medium,7.3,Bicycle,Windy,2025-01-04 18:58,South,West
25,0.53,2.9,Low,0.62,Bike,Cloudy,2025-01-04 04:12,West,Central
26,4.23,26.1,Medium,4.97,Car,Windy,2025-01-02 15:05,West,Central
27,8.53,44.4,High,9.26,Bicycle,Cloudy,2025-01-02 08:16,Central,East
28,3.65,21.2,Low,5.2,Bicycle,Windy,2025-01-01 18:14,South,West
29,5.59,38.0,Medium,7.34,Bike,Clear,2025-01-04 00:07,South,Central
30,2.65,19.3,Medium,2.97,Car,Rainy,2025-01-04 08:38,West,East
31,6.37,28.9,High,7.17,Bike,Rainy,2025-01-04 01:52,South,East
32,3.14,18.8,High,4.33,Scooter,Clear,2025-01-01 08:05,West,South
33,7.31,36.3,Medium,7.88,Bike,Windy,2025-01-03 05:17,Central,North
34,11.99,58.2,Medium,13.31,Bicycle,Cloudy,2025-01-02 17:40,West,South
35,2.65,19.5,Low,2.96,Car,Clear,2025-01-04 07:37,North,Central
36,3.25,21.3,High,3.81,Bike,Cloudy,2025-01-02 04:12,North,North
37,2.97,23.1,High,3.43,Scooter,Clear,2025-01-03 12:47,West,Central
38,4.47,25.8,High,5.16,Bike,Cloudy,2025-01-02 02:07,North,East
39,3.24,26.0,Low,4.16,Bike,Clear,2025-01-03 15:47,West,Central
40,6.75,49.5,Low,7.19,Scooter,Rainy,2025-01-03 03:42,Central,South
41,9.72,44.8,Medium,10.21,Bicycle,Cloudy,2025-01-04 08:55,South,Central
42,7.62,59.5,Medium,10.27,Scooter,Cloudy,2025-01-04 10:59,West,North
43,2.16,10.0,High,2.26,Scooter,Rainy,2025-01-04 12:47,East,East
44,10.77,87.3,High,13.53,Car,Windy,2025-01-04 09:38,West,East
45,5.26,39.3,Medium,6.47,Bike,Windy,2025-01-02 04:57,North,West
46,4.24,30.0,High,4.33,Car,Rainy,2025-01-03 03:35,South,North
47,9.56,60.9,Low,12.64,Scooter,Rainy,2025-01-03 10:49,Central,Central
48,2.44,15.1,High,2.92,Bicycle,Windy,2025-01-03 15:05,South,Central
49,4.4,23.9,High,4.82,Scooter,Cloudy,2025-01-02 03:19,Central,Central
50,3.21,20.1,Low,4.57,Bike,Rainy,2025-01-02 20:04,East,East
51,10.24,65.1,High,12.4,Bike,Clear,2025-01-03 07:10,East,North
52,2.63,19.7,Low,2.98,Scooter,Cloudy,2025-01-03 11:05,Central,South
53,11.55,78.1,Low,14.7,Bike,Rainy,2025-01-02 08:12,East,East
54,1.36,11.7,Low,1.82,Bike,Rainy,2025-01-04 17:09,North,West
55,1.74,12.5,Low,2.59,Scooter,Rainy,2025-01-04 15:37,Central,South
